sample_840,0.895
sample_93,0.901
sample_864,0.886
sample_1488,0.896
sample_744,0.934
sample_40,0.966
sample_1149,0.908
sample_1321,0.974
sample_990,0.901
sample_1235,0.938
sample_655,0.979
sample_1906,0.948
sample_1092,0.937
sample_1918,0.9
sample_1323,0.943
sample_611,0.948
sample_1331,0.936
sample_1769,0.938
sample_1739,0.975
sample_566,0.907
sample_1650,0.904
sample_1530,0.889
sample_234,0.915
sample_1854,0.918
sample_1295,0.98
sample_749,0.933
sample_183,0.977
sample_1592,0.94
sample_142,0.926
sample_1127,0.905
sample_1855,0.967
sample_327,0.898
sample_7,0.895
sample_1019,0.902
sample_1494,0.894
sample_1276,0.966
sample_290,0.895
sample_1796,0.929
sample_1833,0.926
sample_712,0.929
sample_1892,0.903
sample_62,0.898
sample_1075,0.942
sample_1804,0.928
sample_1628,0.948
sample_1404,0.893
sample_980,0.889
sample_1257,0.928
sample_1197,0.936
sample_747,0.939
sample_197,0.918
sample_690,0.929
sample_1839,0.925
sample_961,0.892
sample_134,0.976
sample_709,0.927
sample_1311,0.935
sample_1919,0.939
sample_1813,0.928
sample_1399,0.939
sample_1888,0.944
sample_894,0.901
sample_1051,0.895
sample_1286,0.944
sample_1327,0.984
sample_1651,0.901
sample_1337,0.935
sample_1626,0.906
sample_143,0.927
sample_1391,0.929
sample_81,0.948
sample_279,0.937
sample_1455,0.893
sample_380,0.963
sample_1405,0.893
sample_1848,0.918
sample_967,0.893
sample_1618,0.896
sample_1176,0.931
sample_579,0.955
sample_261,0.938
sample_1452,0.947
sample_19,0.924
sample_78,0.95
sample_1450,0.895
sample_1198,0.94
sample_56,0.9
sample_428,0.898
sample_1709,0.901
sample_109,0.901
sample_1267,0.97
sample_530,0.898
sample_564,0.959
sample_1249,0.964
sample_207,0.921
sample_1179,0.934
sample_1221,0.938
sample_260,0.975
sample_741,0.94
sample_1984,0.933
sample_460,0.898
sample_67,0.901
sample_255,0.934
sample_406,0.935
sample_610,0.949
sample_1782,0.978
sample_1968,0.93
sample_971,0.924
sample_1838,0.921
sample_426,0.897
sample_1422,0.89
sample_479,0.898
sample_191,0.921
sample_480,0.903
sample_1236,0.935
sample_1352,0.931
sample_1201,0.934
sample_1643,0.948
sample_941,0.894
sample_1459,0.895
sample_796,0.936
sample_1729,0.932
sample_533,0.898
sample_794,0.933
sample_1022,0.897
sample_46,0.966
sample_1166,0.904
sample_211,0.916
sample_1986,0.927
sample_447,0.898
sample_826,0.935
sample_1028,0.898
sample_119,0.905
sample_901,0.893
sample_216,0.963
sample_531,0.936
sample_675,0.926
sample_1300,0.978
sample_620,0.973
sample_1094,0.967
sample_1239,0.94
sample_841,0.896
sample_28,0.928
sample_1953,0.931
sample_517,0.94
sample_1218,0.933
sample_1128,0.907
sample_1109,0.913
sample_580,0.902
